IC - NGC,Name,Messier,NGC,IC,Object Type abrev.,Object type,ra,dec,Constellation,Major axis,Minor axis,Position angle,b_mag,v_mag,j_mag,h_mag,k_mag,Surface Brigthness,Hubble (only Galaxies),Cstar U-Mag (only Planetary Nebulae),Cstar B-Mag (only Planetary Nebulae),Cstar V-Mag (only Planetary Nebulae),Cstar Names (only Planetary Nebulae),identifiers,common_names,ned_notes,openngc_notes,Image
IC,IC1,,,,**,Double star,00:08:27.05,+27:43:03.6,Peg,,,,,,,,,,,,,,,,,,,
IC,IC4,,,,G,Galaxy,00:13:26.94,+17:29:11.2,Peg,1.17,0.84,12,14.2,,11.51,10.65,10.5,23.01,Sc,,,,,2MASX J00132695+1729111,,,,
IC,IC6,,,,G,Galaxy,00:18:55.04,-03:16:33.9,Psc,1.23,1.08,146,14.5,,11.03,10.32,10.08,23.89,E,,,,,2MASX J00185505-0316339,,,,
IC,IC8,,,,G,Galaxy,00:19:02.72,-03:13:19.5,Psc,0.82,0.34,129,15.16,,12.7,12.08,12.08,23.4,E?,,,,,2MASX J00190272-0313196,,,,
IC,IC11,,NGC281,,Dup,Galaxy,00:52:59.35,+56:37:18.8,Cas,,,,,,,,,,,,,,,,,,,
IC,IC14,,,,**,Double star,00:22:31.29,+10:29:24.9,Psc,,,,,,,,,,,,,,,,,,,
IC,IC16,,,,G,Galaxy,00:28:07.65,-13:05:38.1,Cet,0.58,0.32,62,15.15,,12.75,12.05,11.71,23,S0-a,,,,,2MASX J00280763-1305379,,,,
IC,IC17,,,,G,Galaxy,00:28:29.78,+02:38:55.0,Psc,0.67,0.54,102,14.8,,11.68,10.96,10.78,23.04,E?,,,,,2MASX J00282976+0238549,,,,
IC,IC18,,,,G,Galaxy,00:28:34.96,-11:35:12.1,Cet,1.08,0.41,29,15.03,,12.14,11.39,11.04,23.62,Sb,,,,,2MASX J00283495-1135123,,,,
IC,IC20,,,,G,Galaxy,00:28:39.68,-13:00:37.1,Cet,0.91,0.77,18,14.88,,11.4,10.65,10.51,23.41,S0,,,,,2MASX J00283968-1300366,,,,
IC,IC22,,,,G,Galaxy,00:29:33.17,-09:04:50.7,Cet,0.81,0.44,45,14.73,,11.63,10.98,10.73,23.07,S0,,,,,2MASX J00293318-0904510,,,,
IC,IC24,,,,**,Double star,00:31:16.63,+30:50:21.5,And,,,,,,,,,,,,,,,,,,,
IC,IC27,,,,G,Galaxy,00:33:06.24,-13:22:17.4,Cet,0.58,0.34,148,15.6,,13.49,12.84,12.39,23.37,,,,,,2MASX J00330625-1322173,,,,
IC,IC36,,,,G,Galaxy,00:37:49.65,-15:26:28.6,Cet,0.31,0.3,60,15.62,,12.72,12.07,11.67,,,,,,,2MASX J00374962-1526288,,,,
IC,IC38,,,,G,Galaxy,00:38:38.76,-15:25:11.4,Cet,0.77,0.57,65,15.02,,12.41,11.72,11.39,22.93,Sc,,,,,2MASX J00383875-1525112,,,,
IC,IC42,,,,G,Galaxy,00:41:05.84,-15:25:41.1,Cet,0.76,0.53,56,15.38,,12.81,11.98,11.74,23.25,SABc,,,,,2MASX J00410585-1525410,,,,
IC,IC43,,,,G,Galaxy,00:42:22.06,+29:38:29.9,And,1.26,1.15,87,14.4,,11.23,10.56,10.24,23.13,SABc,,,,,2MASX J00422206+2938298,,,,
IC,IC47,,,,G,Galaxy,00:42:55.01,-13:44:26.6,Cet,0.41,0.24,100,16.09,,12.72,12.02,11.75,,,,,,,2MASX J00425503-1344264,,,,
IC,IC49,,,,G,Galaxy,00:43:56.13,+01:51:01.0,Cet,1.28,1.04,77,14.5,,12.83,12.62,12.06,23.39,SABc,,,,,2MASX J00435616+0151011,,,,
IC,IC50,,,,G,Galaxy,00:46:05.71,-09:30:10.8,Cet,1.02,0.87,169,14.74,,11.45,10.71,10.49,23.71,E,,,,,2MASX J00460569-0930109,,,,
IC,IC59,,,,RfN,Reflection Nebula,00:57:28.61,+61:08:37.2,Cas,10,5,,,,,,,,,,,,,LBN 620,,,,
IC,IC61,,,,G,Galaxy,00:57:07.20,+07:30:25.5,Psc,1.34,1.29,175,15.3,,11.65,10.97,10.54,24.61,S0,,,,,2MASX J00570722+0730255,,,,
IC,IC69,,,,G,Galaxy,01:01:23.66,+31:02:27.0,Psc,0.76,0.41,71,14.7,,11.89,11.02,10.86,23.04,SABb,,,,,2MASX J01012367+3102269,,,,
IC,IC77,,,,G,Galaxy,01:08:43.75,-15:25:15.3,Cet,0.52,0.44,90,16.23,,12.6,11.91,11.75,23.56,S0,,,,,2MASX J01084373-1525148,,,,
IC,IC78,,,,G,Galaxy,01:08:47.70,-15:50:42.3,Cet,1.75,0.75,126,15.24,,11.08,10.4,10.08,24.55,Sa,,,,,2MASX J01084768-1550427,,,,
IC,IC79,,,,G,Galaxy,01:08:49.71,-15:56:54.9,Cet,1.24,0.91,158,14.93,,11.25,10.54,10.29,24.12,E-S0,,,,,2MASX J01084970-1556547,,,,
IC,IC80 NED01,,,,G,Galaxy,01:08:50.70,-15:24:32.2,Cet,1.5,1.03,83,14.75,,,,,24.48,E,,,,,MCG -03-04-009,,,,
IC,IC89,,NGC446,,Dup,Galaxy,01:16:03.61,+04:17:38.8,Psc,,,,,,,,,,,,,,,,,,,
IC,IC90,,,,G,Galaxy,01:16:30.35,-07:58:37.7,Cet,1.25,1.12,146,14.52,,11.02,10.36,10.12,24.14,E,,,,,2MASX J01163034-0758369,,,,
IC,IC98,,,,G,Galaxy,01:20:54.88,-12:36:17.0,Cet,0.68,0.61,55,16.3,,12.14,11.39,11.14,23.87,,,,,,2MASX J01205488-1236162,,,,
IC,IC100,,,,G,Galaxy,01:22:53.96,-04:38:34.9,Cet,1.04,0.77,88,14.48,,11.26,10.56,10.24,23.36,E-S0,,,,,2MASX J01225395-0438353,,,,
IC,IC101,,,,G,Galaxy,01:24:08.55,+09:55:49.9,Psc,1.24,0.59,124,15.1,,12.48,11.78,11.88,23.76,Sb,,,,,2MASX J01240854+0955500,,,,
IC,IC102,,,,G,Galaxy,01:24:26.33,+09:53:11.6,Psc,0.75,0.37,111,15.6,,12.65,11.95,11.68,23.59,S0-a,,,,,2MASX J01242632+0953114,,,,
IC,IC106,,NGC530,,Dup,Galaxy,01:24:41.65,-01:35:13.5,Cet,,,,,,,,,,,,,,,,,,,
IC,IC111,,,,Other,,01:26:00.13,+33:29:49.6,Psc,,,,,,,,,,,,,,,,,Nominal position. IC 111 may be the stars at 01 23 10,,
IC,IC118,,,,G,Galaxy,01:27:36.04,-04:59:50.9,Cet,0.72,0.55,31,15.81,,12.19,11.49,11.23,23.9,E,,,,,2MASX J01273603-0459505,,,,
IC,IC119,,,,G,Galaxy,01:27:55.02,-02:02:25.7,Cet,1.19,0.58,77,15,,11.6,10.93,10.7,24.04,S0-a,,,,,2MASX J01275502-0202255,,,,
IC,IC122,,,,G,Galaxy,01:28:13.20,-14:50:20.0,Cet,0.65,0.32,14,15.96,,12.81,12.11,11.82,23.64,S0-a,,,,,2MASX J01281322-1450197,,,,
IC,IC123,,,,G,Galaxy,01:28:51.46,+02:26:47.2,Cet,0.67,0.47,44,16.09,15.21,12.11,11.45,11.14,23.24,E,,,,,2MASX J01285148+0226476,,,,
IC,IC128,,,,G,Galaxy,01:31:23.87,-12:37:27.8,Cet,0.82,0.61,165,15.35,,13.31,12.73,12.82,23.31,SBc,,,,,2MASX J01312388-1237277,,,,
IC,IC146,,NGC648,,Dup,Galaxy,01:38:39.79,-17:49:52.3,Cet,,,,,,,,,,,,,,,,,,,
IC,IC148,,,,G,Galaxy,01:42:26.97,+13:58:37.3,Psc,1.82,0.57,45,13.44,,,,,23.07,I,,,,,MCG +02-05-011,,,,
IC,IC155,,,,Other,,01:47:32.33,+60:36:39.0,Cas,,,,,,,,,,,,,,,,,Nominal position; nothing here.,,
IC,IC157,,,,Other,,01:45:42.40,+12:52:24.0,Psc,,,,,,,,,,,,,,,,,Nominal position; nothing here.,,
IC,IC160,,,,G,Galaxy,01:46:29.56,-13:14:51.8,Cet,1.28,0.86,85,14.88,,11.32,10.63,10.32,24.16,E-S0,,,,,2MASX J01462955-1314514,,,,
IC,IC161,,,,G,Galaxy,01:48:43.74,+10:30:28.4,Ari,0.9,0.54,67,14.8,,11.54,10.88,10.59,22.95,S0-a,,,,,2MASX J01484377+1030287,,,,
IC,IC164,,,,G,Galaxy,01:49:08.41,-03:54:15.8,Cet,1.58,1.35,167,13.5,,10.63,9.95,9.67,23.9,E,,,,,2MASX J01490840-0354157,,,,
IC,IC166,,,,OCl,Open Cluster,01:52:23.82,+61:51:09.4,Cas,7.5,,,13,11.7,,,,,,,,,,MWSC 0146,,,,
IC,IC170,,,,G,Galaxy,01:51:57.52,-08:31:03.4,Cet,0.78,0.6,92,15.34,,12.2,11.57,11.39,23.59,E,,,,,2MASX J01515753-0831039,,,,
IC,IC171,,,,G,Galaxy,01:55:10.21,+35:16:54.8,Tri,2.26,1.9,107,13.8,,9.9,9.01,8.89,24.18,S0-a,,,,,2MASX J01551021+3516550,,,,
IC,IC176,,,,G,Galaxy,01:56:53.40,-02:01:08.3,Cet,1.78,0.38,94,14.6,,12.04,11.46,11.08,23.57,Sc,,,,,2MASX J01565340-0201083,,,,
IC,IC178,,,,G,Galaxy,01:58:54.87,+36:40:28.9,And,0.94,0.79,159,14,,11.07,10.4,10.1,22.55,Sab,,,,,2MASX J01585479+3640299,,,,
IC,IC185,,,,G,Galaxy,02:00:06.04,-01:31:42.0,Cet,0.79,0.33,82,15.72,,12.39,11.58,11.4,23.46,Sab,,,,,2MASX J02000603-0131420,,,,
IC,IC186 NED03,,,,G,Galaxy,02:00:25.40,-01:33:03.0,Cet,,,,,,,,,,,,,,,MCG +00-06-021 NED02,,,No data available in LEDA,
IC,IC187,,,,G,Galaxy,02:01:30.76,+26:28:51.5,Ari,2.23,0.73,70,13.9,,11.08,10.36,10.1,23.83,Sa,,,,,2MASX J02013075+2628515,,,,
IC,IC188,,,,G,Galaxy,02:01:46.50,+26:32:48.8,Ari,0.54,0.28,46,14.4,,11.94,11.18,10.78,21.27,SABc,,,,,2MASX J02014649+2632491,,,,
IC,IC191,,NGC794,,Dup,Galaxy,02:02:29.33,+18:22:22.8,Ari,,,,,,,,,,,,,,,,,,,
IC,IC192,,,,G,Galaxy,02:02:32.39,+16:00:51.0,Ari,0.95,0.67,148,14.8,,11.64,11.11,10.74,23.51,S0,,,,,2MASX J02023238+1600509,,,,
IC,IC193,,,,G,Galaxy,02:02:30.98,+11:05:35.1,Ari,1.36,0.97,154,14.7,,11.11,10.48,10.61,23.58,Sc,,,,,2MASX J02023096+1105352,,,,
IC,IC194,,,,G,Galaxy,02:03:05.22,+02:36:51.3,Psc,1.85,0.33,14,15.4,,11.68,10.86,10.53,24,Sb,,,,,2MASX J02030523+0236514,,,,
IC,IC200,,,,G,Galaxy,02:05:26.64,+31:10:31.2,Tri,1.38,1.06,92,14,,11.2,10.5,10.1,23.24,Sb,,,,,2MASX J02052662+3110312,,,,
IC,IC201,,,,G,Galaxy,02:07:15.29,+09:06:54.2,Cet,0.54,0.5,60,16.77,,13.13,12.56,12.34,23.89,,,,,,2MASX J02071528+0906548,,,,
IC,IC202,,,,G,Galaxy,02:07:28.66,+09:10:05.9,Cet,1.35,0.36,131,15.3,,12.24,11.42,11.04,23.81,Sb,,,,,2MASX J02072865+0910059,,,,
IC,IC205,,,,G,Galaxy,02:07:27.43,-02:05:28.6,Cet,0.92,0.82,40,14.8,,11.95,11.22,11.03,23.21,Sa,,,,,2MASX J02072743-0205284,,,,
IC,IC210,,,,G,Galaxy,02:09:28.28,-09:40:49.2,Cet,2.35,0.65,66,13.7,,10.5,9.74,9.37,23.44,SBbc,,,,,2MASX J02092822-0940481,,,,
IC,IC213,,,,G,Galaxy,02:14:04.28,+16:27:21.2,Ari,1.43,1.01,148,15.4,,11.27,10.59,10.14,24.46,SABb,,,,,2MASX J02140427+1627212,,,,
IC,IC214,,,,G,Galaxy,02:14:05.59,+05:10:23.7,Cet,0.58,0.45,65,14.4,,12.29,11.42,11,22.07,Sbc,,,,,IRAS 02114+0456,,,,
IC,IC219,,,,G,Galaxy,02:18:38.83,-06:54:12.0,Cet,1.56,1.19,177,14.44,,10.98,10.24,9.98,24.27,E,,,,,2MASX J02183884-0654118,,,,
IC,IC220,,,,G,Galaxy,02:19:11.73,-12:46:53.9,Cet,0.67,0.32,34,15.08,,12.06,11.33,10.96,22.94,Sb,,,,,2MASX J02191172-1246536,,,,
IC,IC222,,,,G,Galaxy,02:22:47.85,+11:38:18.0,Ari,0.84,0.65,42,14.5,,11.86,11.09,10.72,23.36,SABa,,,,,2MASX J02224783+1138182,,,,
IC,IC223,,,,G,Galaxy,02:22:01.10,-20:44:45.3,Cet,1.15,0.59,143,14.04,,15.29,14.89,14.65,22.54,IB,,,,,ESO 545-008,,,,
IC,IC225,,,,G,Galaxy,02:26:28.29,+01:09:37.9,Cet,1.01,0.9,158,14.7,,12.7,12.23,11.97,23.45,E,,,,,2MASX J02262825+0109374,,,,
IC,IC228,,NGC944,,Dup,Galaxy,02:26:41.53,-14:30:56.3,Cet,,,,,,,,,,,,,,,,,,,
IC,IC230,,,,G,Galaxy,02:28:47.29,-10:49:52.9,Cet,0.64,0.42,87,15.54,,12.47,11.95,11.7,23.42,S0-a,,,,,2MASX J02284729-1049531,,,,
IC,IC231,,,,G,Galaxy,02:29:56.39,+01:10:44.7,Cet,0.74,0.33,162,15,,11.95,11.16,11,23.31,S0,,,,,2MASX J02295638+0110441,,,,
IC,IC238,,,,G,Galaxy,02:35:22.68,+12:50:15.8,Ari,1.38,0.79,35,14.1,,10.6,9.87,9.52,23.54,S0,,,,,2MASX J02352268+1250156,,,,
IC,IC239,,,,G,Galaxy,02:36:27.88,+38:58:11.7,And,4.25,4.01,75,12.1,,9.54,9.09,8.78,23.72,SABc,,,,,2MASX J02362783+3858085,,,,
IC,IC244,,,,G,Galaxy,02:39:24.73,+02:43:43.7,Cet,0.7,0.47,176,15.3,,12.79,12.15,11.75,22.95,SABc,,,,,2MASX J02392473+0243436,,,,
IC,IC245,,,,G,Galaxy,02:38:54.64,-14:18:20.0,Cet,1.11,0.29,25,15.11,,12.27,11.59,11.34,22.95,Sbc,,,,,2MASX J02385464-1418200,,,,
IC,IC248,,,,G,Galaxy,02:41:25.83,+17:48:44.0,Ari,0.99,0.74,147,14.4,,11.08,10.3,9.98,22.92,Sa,,,,,2MASX J02412581+1748438,,,,
IC,IC251,,,,G,Galaxy,02:41:13.85,-14:57:28.2,Cet,0.84,0.74,96,15,,11.91,11.25,10.79,23.41,E,,,,,2MASX J02411385-1457276,,,,
IC,IC252,,,,G,Galaxy,02:41:45.13,-14:50:53.7,Cet,1.01,0.62,26,15.2,,11.96,11.27,11.07,23.86,S0-a,,,,,2MASX J02414512-1450537,,,,
IC,IC253,,,,G,Galaxy,02:42:05.75,-15:02:48.6,Cet,0.95,0.74,162,14.87,,11.44,10.76,10.47,23.46,S0,,,,,2MASX J02420573-1502489,,,,
IC,IC254,,,,G,Galaxy,02:42:04.98,-15:06:23.9,Cet,0.26,0.25,55,14.91,,12.68,11.96,11.73,,,,,,,2MASX J02420497-1506239,,,B-Mag taken from LEDA.,
IC,IC255,,,,G,Galaxy,02:47:03.21,+16:17:16.9,Ari,0.59,0.4,45,15.7,,13.19,12.32,12.32,23.19,SABb,,,,,2MASX J02470319+1617167,,,,
IC,IC257,,,,G,Galaxy,02:49:45.44,+46:58:34.3,Per,1.93,1.19,154,14.5,,,,,24.12,E,,,,,MCG +08-06-011,,,,
IC,IC258,,,,G,Galaxy,02:49:46.10,+41:03:06.0,Per,1.48,1.23,170,15.6,,11.61,10.84,10.59,25.1,S0-a,,,,,2MASX J02494600+4103062,,,,
IC,IC259,,,,G,Galaxy,02:49:40.88,+41:03:18.4,Per,0.69,0.53,130,15.5,,11.78,11.11,10.84,23.3,S0,,,,,2MASX J02494087+4103182,,,,
IC,IC261,,NGC1120,,Dup,Galaxy,02:49:04.09,-14:28:14.5,Eri,,,,,,,,,,,,,,,,,,,
IC,IC263,,,,G,Galaxy,02:49:39.96,-00:04:11.5,Cet,0.65,0.44,168,15.04,,12.13,11.4,11.14,22.65,S0-a,,,,,2MASX J02494000-0004110,,,,
IC,IC264,,,,G,Galaxy,02:48:47.62,-00:06:33.1,Cet,0.5,0.37,28,17.53,16.88,12.93,12.29,12,23.25,E,,,,,2MASX J02484759-0006329,,,,
IC,IC266,,,,G,Galaxy,02:55:04.83,+42:15:44.4,Per,0.74,0.31,136,15.7,,11.04,10.39,10.08,24.09,S0-a,,,,,2MASX J02550488+4215438,,,,
IC,IC268,,,,G,Galaxy,02:55:26.95,-14:06:10.8,Eri,0.97,0.55,68,15.31,,12.77,12.09,11.59,23.63,SABa,,,,,2MASX J02552693-1406106,,,,
IC,IC269,,,,G,Galaxy,02:55:26.49,-14:04:00.5,Eri,1.19,0.35,126,15.34,,11.56,10.79,10.71,24.2,S0-a,,,,,2MASX J02552652-1404006,,,,
IC,IC272,,,,G,Galaxy,02:56:06.44,-14:11:11.9,Eri,0.96,0.67,30,14.86,,11.72,10.93,10.73,23.22,Sbc,,,,,2MASX J02560643-1411119,,,,
IC,IC273,,,,G,Galaxy,02:57:10.78,+02:46:30.2,Cet,1.49,0.46,32,14.4,,11.22,10.52,10.19,23.62,Sa,,,,,2MASX J02571077+0246302,,,,
IC,IC274,,,,Other,,03:00:05.23,+44:12:47.4,Per,,,,,,,,,,,,,,,,,Nominal position; nothing obvious here.,,
IC,IC276,,,,G,Galaxy,02:58:41.06,-15:42:11.2,Eri,1.67,0.61,62,14.09,,10.84,10.21,10.17,23.91,S0,,,,,2MASX J02584169-1542067,,,,
IC,IC279,,,,G,Galaxy,03:01:12.21,+16:12:33.2,Ari,0.54,0.45,166,15.2,,12.26,11.5,11.2,22.75,Sbc,,,,,2MASX J03011222+1612331,,,,
IC,IC281,,NGC1177,,Dup,Galaxy,03:04:37.13,+42:21:46.2,Per,,,,,,,,,,,,,,,,,,,
IC,IC287,,,,G,Galaxy,03:04:57.82,-12:04:13.6,Eri,0.81,0.59,9,15.22,,11.69,10.96,10.76,23.37,Sc,,,,,2MASX J03045782-1204137,,,,
IC,IC289,,,,PN,Planetary Nebula,03:10:19.26,+61:19:00.4,Cas,0.58,,,12.3,13.2,15.59,15.62,15.14,,,,15.1,15.9,,IRAS 03062+6107,,,,
IC,IC290,,,IC1884,G,Galaxy,03:09:42.74,+40:58:27.2,Per,1.24,0.32,129,15.5,,12.02,11.27,11.06,23.74,Sb,,,,,2MASX J03094272+4058269,,,,
IC,IC291,,,,G,Galaxy,03:07:26.45,-12:35:14.8,Eri,1.19,0.52,91,14.65,,11.6,10.91,10.65,23.51,S0-a,,,,,2MASX J03072644-1235147,,,,
IC,IC295,,,,Other,,03:11:00.74,+40:36:54.9,Per,,,,,,,,,,,,,,,,,Nothing here; nominal position.,,
IC,IC297,,,,**,Double star,03:13:18.38,+42:08:55.6,Per,,,,,,,,,,,,,,,,,The identity as IC 0297 is not certain.,,
IC,IC298A,,,,G,Galaxy,03:11:18.50,+01:18:54.1,Cet,0.54,0.34,35,15.5,,14.17,13.64,12.92,23.52,,,,,,2MASX J03111863+0118498,,,,
IC,IC304,,,,G,Galaxy,03:15:01.37,+37:52:54.6,Per,1.06,0.65,29,14.8,,11.37,10.66,10.34,23.26,Sb,,,,,2MASX J03150136+3752544,,,,
IC,IC311,,,,G,Galaxy,03:16:46.73,+40:00:13.0,Per,1,1,100,15.7,,10.53,9.71,9.4,24.39,Sb,,,,,2MASX J03164671+4000132,,,,
IC,IC312,,,,G,Galaxy,03:18:08.61,+41:45:14.8,Per,1.19,0.57,125,14.9,,10.79,10.01,9.78,23.84,E,,,,,2MASX J03180835+4145157,,,,
IC,IC313,,,,G,Galaxy,03:20:57.90,+41:53:37.8,Per,1.26,0.87,42,15.1,,10.86,10.12,9.82,24.18,E,,,,,2MASX J03205786+4153377,,,,
IC,IC315,,,,G,Galaxy,03:19:09.34,+04:02:18.8,Cet,0.68,0.33,45,15.1,,11.91,11.17,10.85,,S0,,,,,2MASX J03190932+0402184,,,,
IC,IC328,,,,G,Galaxy,03:31:10.95,-14:38:16.3,Eri,0.67,0.48,16,14.59,,12.31,11.68,11.37,22.41,Sc,,,,,2MASX J03311094-1438164,,,,
IC,IC331,,,,G,Galaxy,03:32:19.08,+00:16:57.2,Tau,0.91,0.91,105,14.5,,11.42,10.66,10.43,23.51,E,,,,,2MASX J03321908+0016567,,,,
IC,IC334,,,,G,Galaxy,03:45:17.08,+76:38:17.9,Cam,2.34,1.85,58,12.45,11.33,8.75,7.96,7.71,23.06,S?,,,,,2MASX J03451709+7638177,,,,
IC,IC337,,,,Other,,03:37:04.30,-06:43:16.3,Eri,,,,,,,,,,,,,,,,,Nothing here; nominal position.,,
IC,IC340,,,,G,Galaxy,03:39:29.11,-13:06:54.4,Eri,1.61,0.58,90,14.76,,11.92,11.24,10.87,24.25,S0-a,,,,,2MASX J03392911-1306544,,,,
IC,IC341,,,,Neb,Nebula,03:40:55.69,+21:57:36.7,Tau,134.9,,,,,,,,,,,,,,,,,Dimensions taken from LEDA,
IC,IC342,,,,G,Galaxy,03:46:48.50,+68:05:46.9,Cam,19.77,18.79,0,10.5,,5.66,5.01,4.56,24.85,SABc,,,,,2MASX J03464851+6805459,,,,
IC,IC343,,,,G,Galaxy,03:40:07.14,-18:26:36.5,Eri,1.51,0.66,113,14.17,13.19,11.32,10.72,10.5,23.67,S0-a,,,,,2MASX J03400714-1826364,,,,
IC,IC344,,,,G,Galaxy,03:41:29.53,-04:39:57.1,Eri,0.89,0.47,42,14.92,,12.5,11.78,11.93,22.89,SBbc,,,,,2MASX J03412959-0439568,,,,
IC,IC345,,,,G,Galaxy,03:41:09.13,-18:18:50.9,Eri,0.88,0.73,37,14.57,,11.93,11.28,11.05,23.18,S0,,,,,2MASX J03410912-1818510,,,,
IC,IC346,,,,G,Galaxy,03:41:44.66,-18:16:01.1,Eri,1.95,1.47,69,13.53,,10.59,9.9,9.78,23.8,S0-a,,,,,2MASX J03414466-1816014,,,,
IC,IC347,,,,G,Galaxy,03:42:32.65,-04:17:55.1,Eri,1.37,1.02,138,13.5,,10.53,9.83,9.57,23.43,S0,,,,,2MASX J03423266-0417551,,,,
IC,IC348,,,IC1985,Cl+N,Star cluster + Nebula,03:44:34.19,+32:09:46.2,Per,10,10,,,,,,,,,,,,,BD +31 0643,,,,
IC,IC349,,,,RfN,Reflection Nebula,03:46:20.11,+23:56:23.3,Tau,25.7,,,,,,,,,,,,,,,Barnard's Merope Nebula,Part of the Merope Nebula = NGC 1435.,Dimensions taken from LEDA,
IC,IC351,,,,PN,Planetary Nebula,03:47:33.01,+35:02:48.9,Per,0.12,,,12.4,11.9,13.01,12.82,12.18,,,,15.9,15.8,,2MASX J03473301+3502487,,,,
IC,IC354,,,,Neb,Nebula,03:53:57.91,+23:08:49.2,Tau,128.82,,,,,,,,,,,,,,,,,Dimensions taken from LEDA,
IC,IC357,,,,G,Galaxy,04:03:44.00,+22:09:32.8,Tau,0.94,0.61,147,14.3,,10.75,9.98,9.6,22.9,SBb,,,,,2MASX J04034398+2209325,,,,
IC,IC362,,,,G,Galaxy,04:16:42.43,-12:12:00.4,Eri,1.77,1.03,5,14.18,,10.61,10.02,9.6,24.24,E,,,,,2MASX J04164244-1212000,,,,
IC,IC363,,,,G,Galaxy,04:18:55.42,+03:01:58.9,Tau,0.33,0.31,25,15.4,,12.13,11.38,11.24,,E,,,,,2MASX J04185539+0301586,,,,
IC,IC368,,,,G,Galaxy,04:22:42.72,-12:36:54.6,Eri,0.99,0.83,164,15.08,,11.49,10.79,10.52,23.59,S0,,,,,2MASX J04224270-1236544,,,,
IC,IC372,,,,G,Galaxy,04:30:04.24,-05:00:35.9,Eri,0.97,0.45,30,15.32,,11.74,11.07,10.82,23.93,S0-a,,,,,2MASX J04300421-0500358,,,,
IC,IC374,,,,G,Galaxy,04:32:32.75,+16:38:03.0,Tau,0.23,0.19,80,15.7,,10.96,10.16,9.86,21.33,S0-a,,,,,2MASX J04323273+1638031,,,,
IC,IC375,,,,G,Galaxy,04:31:03.14,-12:58:26.3,Eri,0.82,0.54,59,14.63,,11.77,11.02,10.59,23.27,SBb,,,,,2MASX J04310313-1258262,,,,
IC,IC376,,,,G,Galaxy,04:31:13.79,-12:26:00.1,Eri,0.59,0.48,50,15.98,,12.53,11.99,11.69,23.65,,,,,,2MASX J04311379-1226002,,,,
IC,IC378,,,,G,Galaxy,04:31:27.92,-12:17:59.1,Eri,0.79,0.48,69,15.66,,11.89,11.12,10.94,23.71,E-S0,,,,,2MASX J04312793-1217592,,,,
IC,IC379,,,,G,Galaxy,04:31:50.93,-07:14:18.1,Eri,0.93,0.82,35,14.7,,11.71,10.95,10.63,23.33,SABb,,,,,2MASX J04315094-0714180,,,,
IC,IC380,,,,G,Galaxy,04:31:41.32,-12:55:37.3,Eri,0.76,0.46,75,15.25,,12.83,12.19,12.13,23.06,SABb,,,,,2MASX J04314131-1255372,,,,
IC,IC384,,,,G,Galaxy,04:39:18.28,-07:50:20.8,Eri,0.49,0.48,94,15.14,,12.15,11.47,11.17,,E,,,,,2MASX J04391828-0750208,,,,
IC,IC386,,NGC1632,,Dup,Galaxy,04:39:58.58,-09:27:22.4,Eri,,,,,,,,,,,,,,,,,,,
IC,IC388 NED02,,,,G,Galaxy,04:41:54.32,-07:18:23.3,Eri,0.89,0.4,10,15.87,,12.35,11.6,11.45,24.37,E,,,,,2MASX J04415434-0718229,,,,
IC,IC389,,,,G,Galaxy,04:41:59.62,-07:18:41.3,Eri,1.09,0.82,20,15.07,,11.02,10.27,10.01,23.82,E-S0,,,,,2MASX J04415960-0718410,,,,
IC,IC401,,,,G,Galaxy,05:04:19.64,-10:04:35.5,Eri,1.75,0.58,55,13.6,,11.04,10.44,10.15,23.16,SBb,,,,,2MASX J05041962-1004359,,,,
IC,IC404,,,,G,Galaxy,05:13:19.60,+09:45:17.7,Ori,0.73,0.53,130,15.7,,11.31,10.44,10.26,,S0-a,,,,,2MASX J05131960+0945174,,,,
IC,IC411,,,,G,Galaxy,05:20:18.61,-25:19:28.2,Lep,1.36,1,129,14.12,,10.89,10.18,9.92,23.53,S0,,,,,2MASX J05201860-2519281,,,,
IC,IC413,,,IC2124,G,Galaxy,05:21:58.78,+03:28:55.8,Ori,1.08,0.8,140,14.9,,10.75,10.12,9.8,23.58,S0,,,,,2MASX J05215877+0328554,,,,
IC,IC415,,,,G,Galaxy,05:21:21.63,-15:32:33.3,Lep,0.76,0.58,148,15.45,,12.41,11.76,11.44,,,,,,,2MASX J05212161-1532332,,,,
IC,IC417,,,,HII,HII Ionized region,05:28:06.00,+34:25:26.2,Aur,13,10,,,,,,,,,,,,,LBN 804,,,,
IC,IC427,,,,Neb,Nebula,05:36:18.02,-06:36:59.2,Ori,,,,,,,,,,,,,,,,,,,
IC,IC438,,,,G,Galaxy,05:53:00.08,-17:52:33.9,Lep,2.8,1.82,63,12.75,,10.59,9.93,9.7,23.7,SABc,,,,,2MASX J05530007-1752337,,,,
IC,IC450,,,,G,Galaxy,06:52:12.25,+74:25:37.5,Cam,1.38,0.8,130,15.16,14.19,11.08,10.22,9.56,24.32,S0-a,,,,,2MASX J06521236+7425372,,,,
IC,IC451,,,,G,Galaxy,06:52:52.01,+74:28:50.6,Cam,1.34,1.07,144,14.9,,11.09,10.36,10.05,23.97,SABb,,,,,2MASX J06525198+7428506,,,,
IC,IC454,,,,G,Galaxy,06:51:06.30,+12:55:19.3,Gem,1.69,0.88,138,14.5,,10.46,9.66,9.39,23.97,SBab,,,,,2MASX J06510628+1255193,,,,
